Designator,Mid X,Mid Y,Rotation,Layer
C1,115.5,-57.5,90.0,top
C2,115.5,-55.0,270.0,top
C3,156.0,-66.0,180.0,top
C4,156.0,-63.78,180.0,top
C6,125.0,-59.5,270.0,top
C7,112.5,-61.5,0.0,top
C8,136.5,-64.0,270.0,top
D1,110.0,-62.5,0.0,top
J1,130.51,-52.0,90.0,top
J2,168.5,-59.0,0.0,top
J3,103.0,-59.0,270.0,top
J4,129.27,-64.5,90.0,top
R1,135.0,-64.0,270.0,top
R2,156.0,-62.0,270.0,top
R3,105.5,-53.0,180.0,top
R4,104.0,-65.0,180.0,top
R5,113.5,-64.0,180.0,top
S1,117.0,-63.5,90.0,top
S2,121.75,-63.5,90.0,top
U2,130.5,-58.0,0.0,top
U3,118.5,-56.0,180.0,top
U4,145.35,-59.35,180.0,top
